id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined
1,1111,2023-12-12 00:00:00.000001,0,1분요리뚝딱이형,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
2,1111,2023-12-12 00:00:00.000001,0,만개의레시피,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
3,1111,2023-12-12 00:00:00.000001,0,백종원,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
4,1111,2023-12-12 00:00:00.000001,0,국가비,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
5,1111,2023-12-12 00:00:00.000001,0,숄02,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
6,1111,2023-12-12 00:00:00.000001,0,아랄랄라,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
7,1111,2023-12-12 00:00:00.000001,0,꿀키honeykki,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
8,1111,2023-12-12 00:00:00.000001,0,일본인의남편,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
9,1111,2023-12-12 00:00:00.000001,0,판교댁쏭아,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
10,1111,2023-12-12 00:00:00.000001,0,시크제이맘,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
11,1111,2023-12-12 00:00:00.000001,0,눈꽃식탁,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
12,1111,2023-12-12 00:00:00.000001,0,꽃청춘이주부,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
13,1111,2023-12-12 00:00:00.000001,0,뽀유TV,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
14,1111,2023-12-12 00:00:00.000001,0,쒸리,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
15,1111,2023-12-12 00:00:00.000001,0,배고픈엄마,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
16,1111,2023-12-12 00:00:00.000001,0,라피네,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
17,1111,2023-12-12 00:00:00.000001,0,GP하루한끼,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
18,1111,2023-12-12 00:00:00.000001,0,CJ 제일제당,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
19,1111,2023-12-12 00:00:00.000001,0,꼬꼬부기,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
20,1111,2023-12-12 00:00:00.000001,0,즐거운날랄라,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
21,1111,2023-12-12 00:00:00.000001,0,푸디레,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
22,1111,2023-12-12 00:00:00.000001,0,행복한윤블리네,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
23,1111,2023-12-12 00:00:00.000001,0,밥심은국력,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
24,1111,2023-12-12 00:00:00.000001,0,과일짱,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
25,1111,2023-12-12 00:00:00.000001,0,현짱2,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
26,1111,2023-12-12 00:00:00.000001,0,얌무,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
27,1111,2023-12-12 00:00:00.000001,0,배화,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
28,1111,2023-12-12 00:00:00.000001,0,우먼센스,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
29,1111,2023-12-12 00:00:00.000001,0,안뇽,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
30,1111,2023-12-12 00:00:00.000001,0,골드데이,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
31,1111,2023-12-12 00:00:00.000001,0,뿅덕부부,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
32,1111,2023-12-12 00:00:00.000001,0,먹슈니,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
33,1111,2023-12-12 00:00:00.000001,0,민달팽이블로그,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
34,1111,2023-12-12 00:00:00.000001,0,야모,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
35,1111,2023-12-12 00:00:00.000001,0,쉬운집밥요리,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
36,1111,2023-12-12 00:00:00.000001,0,브래드 마마,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
37,1111,2023-12-12 00:00:00.000001,0,김미경,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
38,1111,2023-12-12 00:00:00.000001,0,사계절아아,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
39,1111,2023-12-12 00:00:00.000001,0,집밥요리,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
40,1111,2023-12-12 00:00:00.000001,0,더 무디 베이커리 클럽,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
41,1111,2023-12-12 00:00:00.000001,0,하루한끼,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
42,1111,2023-12-12 00:00:00.000001,0,맛있는식탁,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
43,1111,2023-12-12 00:00:00.000001,0,얼스키친,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
44,1111,2023-12-12 00:00:00.000001,0,맛수령,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
45,1111,2023-12-12 00:00:00.000001,0,안녕식탁,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
46,1111,2023-12-12 00:00:00.000001,0,또바기푸드,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
47,1111,2023-12-12 00:00:00.000001,0,간단요리심쿡,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
48,1111,2023-12-12 00:00:00.000001,0,육식맨,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
49,1111,2023-12-12 00:00:00.000001,0,츄츄맘,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
50,1111,2023-12-12 00:00:00.000001,0,포레스트키친,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
51,1111,2023-12-12 00:00:00.000001,0,쿡따라,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
52,1111,2023-12-12 00:00:00.000001,0,해피레시피류이,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
53,1111,2023-12-12 00:00:00.000001,0,집밥한그릇,k,H,test@test.com,0,1,2023-12-11 00:00:00.000001
